,key,value
65,AIRAC,Aeronautical information regulation and control
66,AIREP,Airreport
67,AIRMET,Information concerning enroute weather phenomena
68,AIRMET,Information concerning enroute weather phenomena which may affect the safety of lowlevel aircraft
69,AIRMET,Information concerning enroute weather phenomena which may affect the safety of lowlevel aircraft operations
70,AIS,Aeronautical information services
71,ALA,Alighting area
72,ALERFA,Alert phase
73,ALR,Alerting
74,ALRS,Alerting service
75,ALS,Approach lighting system
76,ALSTG*,Altimeter setting
77,ALT,Altitude
78,ALTN,Alternate
79,ALTN,Alternate or alternating
80,AMA,Area minimum altitude
81,AMD,Amend or amended
82,AMD,Amend or amended meteorological message message type designator
83,AMDT,Amendment
84,AMS,Aeronautical mobile service
85,AMSL,Above mean sea level
86,AMSS,Aeronautical mobile satellite service
87,ANC,Aeronautical chart—
88,ANC,Aeronautical chart— nametitle
89,ANCS,Aeronautical navigation chart—small scale
90,ANCS,Aeronautical navigation chart—small scale by nametitle and scale
91,ANS,Answer
92,AO,Aircraft operator
93,AOC,Aerodrome obstacle chart
94,AOC,Aerodrome obstacle chart nametitle
95,AOR*,Area of responsibility
96,AORC*,Air corridor chart
97,AP,Airport
98,APAPI,Abbreviated precision approach path indicator
99,APAPI,Abbreviated precision approach path indicator pronounced AYPAPI
100,APCH,Approach
101,APDC,Aircraft parkingdocking chart
102,APDC,Aircraft parkingdocking chart nametitle
103,APN,Apron
104,APP,Approach control office or approach control or
105,APP,Approach control office or approach control or approach control service
106,APR,April
107,APRX,Approximate or approximately
108,APSG,After passing
109,APU,Auxiliary power unit
110,APV,Approach procedure with vertical guidance
111,ARC,Area chart
112,ARNG,Arrange
113,ARO,Air traffic services reporting office
114,ARP,Aerodrome reference point
115,ARP,Airreport
116,ARQ,Automatic error correction
117,ARR,Arrive or arrival
118,ARR,Arrival
119,ARS,Special airreport
120,ARST,Arresting aircraft arresting
121,ARST,Arresting aircraft arresting equipment
122,AS,Altostratus
123,ASAP,As soon as possible
124,ASC,Ascend to or ascending to
125,ASDA,Acceleratestop distance available
126,ASE,Altimetry system error
127,ASHTAM,Special series NOTAM notifying by means of a
128,ASHTAM,Special series NOTAM notifying by means of a specific format change in activity of a volcano a
129,ASHTAM,Special series NOTAM notifying by means of a specific format change in activity of a volcano a volcano eruption andor volcanic ash cloud that is of
130,ASHTAM,Special series NOTAM notifying by means of a specific format change in activity of a volcano a volcano eruption andor volcanic ash cloud that is of significance to aircraft operations
131,ASPEEDG*,Airspeed gain
132,ASPEEDL*,Airspeed loss
133,ASPH,Asphalt
134,AT,At
135,AT,At forecast to occur
136,ATA,Actual time of arrival
137,ATC,Air traffic control
138,ATCSMAC,Air traffic control surveillance minimum altitude
139,ATCSMAC,Air traffic control surveillance minimum altitude chart
140,ATD,Actual time of departure
141,ATFM,Air traffic flow management
142,ATIS,Automatic terminal information service
143,ATIS,Automatic terminal information service pronouncedAYTIS
144,ATM,Air traffic management
145,ATMB*,Air Traffic Management Bureau
146,ATN,Aeronautical telecommunication network
147,ATP,At
148,ATS,Air traffic services
149,ATTN,Attention
150,ATVASIS,Abbreviated T visual approach slope indicator T
151,ATVASIS,Abbreviated T visual approach slope indicator T system “AYTEEVASIS”
152,ATZ,Aerodrome traffic zone
153,AUG,August
154,AUTH,Authorized or authorization
155,AUTO,Automatic
156,AUW,All up weight
157,AUX,Auxiliary
158,AVBL,Available or availability
159,AVG,Average
160,AVGAS,Aviation gasoline
161,AVTUR*,Aviation turbine fuel
162,AWOS,Automated weather observation system
163,AWTA,Advise at what time able
164,AWY,Airway
165,AZM,Azimuth
166,B,Blue
167,BA,Braking action
168,BAROVNAV,Barometric vertical navigation
169,BAROVNAV,Barometric vertical navigation pronouncedBAAROVEENAV
170,BASE,Cloud base
171,BCFG,Fog patches
172,BCN,Beacon
173,BCST,Broadcast
174,BDRY,Boundary
175,BEC*,Because
176,BECMG,Becoming
177,BFR,Before
178,BKN,Broken
179,BL,Blowing SN
180,BL,Blowing SN SNsnow
181,BLDG,Building
182,BLO,Below clouds
183,BLW,Below
184,BOMB,Bombing
185,BR,Mist
186,BRF,Short
187,BRF,Short required
188,BRG,Bearing
189,BRKG,Braking
190,BS,Commercial broadcasting station
191,BTL,Between layers
192,BTN,Between
193,BUFR,Binary universal form for the representation of
194,BUFR,Binary universal form for the representation of meteorological data
195,C,Degrees Celsius
196,C,Centre
197,C,Centre identify a parallel runway
198,CA,Course to an altitude
199,CAA,Civil aviation autority or civil aviation administration
200,CAT,Clear air turbulence
201,CAT,Category
202,CAVOK,Visibility cloud and present weather better than
203,CAVOK,Visibility cloud and present weather better than prescribed values or conditions
204,CAVOK,Visibility cloud and present weather better than prescribed values or conditions pronouncedKAVOHKAY
205,CB,Cumulonimbus
206,CC,Cirrocumulus
207,CCA,Corrected
208,CCA,Corrected meteorological message
209,CCO,Continuous climb operation
210,CD,Candela
211,CDFA*,Continuous descent final approach
212,CDN,Coordination
213,CDO,Continuous descent operation
214,CDR,Conditional route
215,CF,Change frequency to
216,CF,Course to a fix
217,CFM,Confirm or I confirm
218,CFM,Confirm or I confirm procedure signal
219,CGL,Circling guidance light
220,CH,Channel
221,CH,This is a channelcontinuitycheck of transmission to
222,CH,This is a channelcontinuitycheck of transmission to permit comparison of your record of
223,CH,This is a channelcontinuitycheck of transmission to permit comparison of your record of channelsequence numbers of messages received on
224,CH,This is a channelcontinuitycheck of transmission to permit comparison of your record of channelsequence numbers of messages received on the channel
225,CHEM,Chemical
226,CHG,Modification
227,CI,Cirrus
228,CIG*,Ceiling
229,CIT*,Near or over large towns
230,CIV,Civil
231,CK,Check
232,CL,Center line
233,CLA,Clear type of ice formation
234,CLBR,Calibration
235,CLD,Cloud
236,CLG,Calling
237,CLIMBOUT,Climbout area
238,CLR,Clear or cleared toor clearance
239,CLRD,Runway cleared
240,CLSD,Close or closed or closing
241,CM,Centimetre
242,CMB,Climb to or climbing to
243,CMPL,Completion or completed or complete
244,CNL,Flight plan cancellation
245,CNL,Cancel or cancelled
246,CNS,Communications navigation and surveillance
247,COM,Communications
248,CONC,Concrete
249,COND,Condition
250,CONS,Continuous
251,CONST,Construction or constructed
252,CONT,Continue or continued
253,COOP*,Cooperation
254,COOR,Coordinate or coordination
255,COORD,Coordinates
256,COP,Changeover point
257,COR,Correct or correction or corrected
258,COR,Correct or correction or corrected corrected meteorological message message type
259,COR,Correct or correction or corrected corrected meteorological message message type designator
260,CORR*,Corridor
261,COT,At the coast
262,COV,Cover or covered or covering
263,CPDLC,Controllerpilot data link communications
264,CPL,Current flight plan
265,CRC,Cyclic redundancy check
266,CRM,Collision risk model
267,CRP,Compulsory reporting point
268,CRS*,Course
269,CRZ,Cruise
270,CS,Call sign
271,CS,Cirrostratus
272,CTA,Control area
273,CTAM,Climb to and maintain
274,CTC,Contact
275,CTL,Control
276,CTN,Caution
277,CTR,Control zone
278,CU,Cumulus
279,CUF,Cumuliform
280,CUST,Customs
281,CVR,Cockpit voice recorder
282,CW,Continuous wave
283,CWY,Clearway
284,D,Downward
285,D,Downward minutes
286,D,Danger area
287,DA,Decision altitude
288,DATIS,Data link automatic terminal information service
289,DATIS,Data link automatic terminal information service be pronouncedDEEATIS
290,DCD,Double channel duplex
291,DCKG,Docking
292,DCL*,Departure clearance via data link
293,DCP,Datum crossing point
294,DCPC,Direct controllerpilot communications
295,DCS,Double channel simplex
296,DCT,Direct
297,DCT,Direct approach
298,DE,From
299,DE,From station
300,DEC,December
301,DEG,Degrees
302,DEP,Departure
303,DEP,Depart or departure
304,DEPO,Deposition
305,DER,Departure end of the runway
306,DES,Descend to or descending to
307,DEST,Destination
308,DETRESFA,Distress phase
309,DEV,Deviation or deviating
310,DF,Direction finding
311,DF*,Direct to fix
312,DFDR,Digital flight data recorder
313,DFTI,Distance from touchdown indicator
314,DH,Decision height
315,DIF,Diffuse
316,DIST,Distance
317,DIV,Divert or diverting
318,DLA,Delay or delayed
319,DLA,Delay
320,DLIC,Data link initiation capability
321,DLY,Daily
322,DME,Distance measuring equipment
323,DNG,Danger or dangerous
324,DOF,Date of flight
325,DOM,Domestic
326,DP,Dew point temperature
327,DPT,Depth
328,DR,Dead reckoning
329,DR,Low drifting SN
330,DR,Low drifting SN SNsnow
331,DRG,During
332,DS,Duststorm
333,DSB,Double sideband
334,DTAM,Descend to and maintain
335,DTG,Datetime group
336,DTHR,Displaced runway threshold
337,DTRT,Deteriorate or deteriorating
338,DTW,Dual tandem wheels
339,DU,Dust
340,DUC,Dense upper cloud
341,DUPE,This is a duplicate message
342,DUPE,This is a duplicate message procedure signal
343,DUR,Duration
344,DVOLMET,Data link VOLMET VOLMET
345,DVOR,Doppler VOR
346,DW,Dual wheels
347,DZ,Drizzle
348,E,East or eastern longitude
349,EAT,Expected approach time
350,EB,Eastbound
351,ECL*,Exercise caution while landing
352,ECT*,Exercise caution while taking off
353,EDA,Elevation differential area
354,EDTO,Extended diversion time operations
355,EEE,Error
356,EET,Estimated elapsed time
357,EFC,Expect further clearance
358,EFF*,Effective
359,EFIS,Electronic flight instrument system
360,EFIS,Electronic flight instrument system pronounceEEFIS
361,EGNOS,European geostationary navigation overlay service
362,EGNOS,European geostationary navigation overlay service be pronouncedEGGNOS
363,EHF,Extremely high frequency
364,ELBA,Emergency location beacon—aircraft
365,ELEV,Elevation
366,ELR,Extra long range
367,ELT,Emergency locator transmitter
368,EM,Emission
369,EMBD,Embedded in a layer
370,EMBD,Embedded in a layer embedded in layers of other clouds
371,EMERG,Emergency
372,END,Stopend
373,ENE,Eastnortheast
374,ENG,Engine
375,ENR,En route
376,ENRC,Enroute chart
377,EOBT,Estimated offblock time
378,EQN,Equatorial latitudes northern hemisphere
379,EQPT,Equipment
380,EQS,Equatorial latitudes southern hemisphere
381,ER*,Hereor herewith
382,ESE,Eastsoutheast
383,EST,Estimate or estimated or estimation
384,EST,Estimate or estimated or estimation designator
385,ETA,Estimated time of arrival or estimating arrival
386,ETD,Estimated time of departure or estimating departure
387,ETE*,Estimated time enroute
388,ETO,Estimated time over significant point
389,EUR,RODEX European regional OPEMET data exchange OPMET
390,EV,Every
391,EVS,Enhanced vision system
392,EXC,Except
393,EXER,Exercises or exercising or to exercise
394,EXP,Expect or expected or expecting
395,EXTD,Extend or extending or extended
396,F,Fixed
397,F*,Degrees Fahrenheit
398,FA,Course from a fix to an altitude
399,FAC,Facilities
400,FAF,Final approach fix
401,FAL,Facilitation of international air transport
402,FANS*,Future air navigation system
403,FAP,Final approach point
404,FAS,Final approach segment
405,FATO,Final approach and takeoff area
406,FAX,Facsimile transmission
407,FBL,Light
408,FBL,Light phenomena interference or static reports eg FBL FBL RA
409,FBL,Light phenomena interference or static reports eg FBL FBL RA RAlight rain
410,FC,Funnel cloud
411,FCST,Forecast
412,FCT,Friction coefficient
413,FDPS,Flight data processing system
414,FEB,February
415,FEW,Few
416,FG,Fog
417,FIC,Flight information centre
418,FIR,Flight information region
419,FIS,Flight information service
420,FISA,Automated flight information service
421,FL,Flight level
422,FLD,Field
423,FLG,Flashing
424,FLR,Flares
425,FLT,Flight
426,FLTCK,Flight check
427,FLUC,Fluctuating or fluctuation or fluctuated
428,FLW,Follow or following
429,FLY,Fly or flying
430,FM,From
431,FM,Course from a fix to manual termination
432,FM,Course from a fix to manual termination navigation database coding
433,FM,From
434,FM,From forecast to begin
435,FMC,Flight management computer
436,FMS,Flight management system
437,FMU,Flow management unit
438,FNA,Final approach
439,FOT*,Units of English system
440,FPAP,Flight path alignment point
441,FPL,Flight plan
442,FPM,Feet per minute
443,FPR,Flight plan route
444,FR,Fuel remaining
445,FREQ,Frequency
446,FRI,Friday
447,FRNG,Firing
448,FRONT,Front
449,FROST,Frost
450,FRQ,Frequent
451,FSL,Full stop landing
452,FSS,Flight service station
453,FST,First
454,FT,Feet
455,FTE,Flight technical error
456,FTP,Fictitious threshold point
457,FTT,Flight technical tolerance
458,FU,Smoke
459,FZ,Freezing
460,FZDZ,Freezing drizzle
461,FZFG,Freezing fog
462,FZRA,Freezing rain
463,G,Green
464,G,Variations from the mean wind speed
465,METARSPECI,TAF
466,GA,Groundtoair
467,GA,General aviation
468,GA,Go ahead resume sending
469,GA,Go ahead resume sending procedure signal
470,GAG,Groundtoair and airtoground
471,GAGAN,GPS and geostationary earth orbit augmented
472,GAGAN,GPS and geostationary earth orbit augmented navigation
473,GAIN,Airspeed or headwind gain
474,GAMET,Area forecast for lowlevel flights
475,GARP,GBAS azimuth reference point
476,GBAS,Groundbased augmentation system
477,GBAS,Groundbased augmentation system pronouncedGEEBAS
478,GCA,Ground controlled approach system or ground
479,GCA,Ground controlled approach system or ground controlled approach
480,GEO,Geographic or true
481,GES,Ground earth station
482,GLD,Glider
483,GLONASS,Global orbiting navigation satellite system
484,GLONASS,Global orbiting navigation satellite system pronounced GLONAS
485,GLS,GBAS landing system
486,GMC,Ground movement chart
487,GND,Ground
488,GNDCK,Ground check
489,GNSS,Global navigation satellite system
490,GOV,Government
491,GP,Glide path
492,GPA,Glide path angle
493,GPIP,Glide path intercept point
494,GPS,Global positioning system
495,GPU,Ground power unit
496,GPWS,Ground proximity warning system
497,GR,Hail
498,GRAS,Groundbased regional augmentation system
499,GRAS,Groundbased regional augmentation system pronounced GRASS
500,GRASS,Grass landing area
501,GRIB,Processed meteorological data in the form of grid
502,GRIB,Processed meteorological data in the form of grid point values expressed in binary form
503,GRIB,Processed meteorological data in the form of grid point values expressed in binary form meteorological code
504,GRVL,Gravel
505,GS,Ground speed
506,GS,Small hail andor snow pellets
507,GUND,Geoid undulation
508,H,Significant wave height
509,H,High pressure area or the centre of high pressure
510,H,Continuous day and night service
511,HA,Holdingracetrack to an altitude
512,HAPI,Helicopter approach path indicator
513,HBN,Hazard beacon
514,HCH,Heliport crossing height
515,HDF,High frequency directionfinding station
516,HDG,Heading
517,HEL,Helicopter
518,HF,High frequency
519,HF,Holdingracetrack to a fix
520,HGT,height or height above
521,HIALS*,High intensity approach lighting system
522,HIRL*,High intensity runway edge light
523,HJ,Sunrise to sunset
524,HLDG,Holding
525,HLP,Heliport
526,HLS,Helicoter landing site
527,HM,Holdingracetrack to a manual termination
528,HN,Sunset to sunrise
529,HNH,High latitudes northern hemisphere
530,HO,Service available to meet operational requirements
531,HOL,Holiday
532,HOSP,Hospital aircraft
533,HPA,Hectopascal
534,HR,Hours
535,HRP,Heliport reference point
536,HS,Service available during hours of scheduled
537,HS,Service available during hours of scheduled operations
538,HSH,High latitudes southern hemisphere
539,HUD,Headup display
540,HUM,Humanitarian
541,HURCN,Hurricane
542,HVDF,High and very high frequency directionfinding
543,HVDF,High and very high frequency directionfinding stations
544,HVY,Heavy
545,HVY,Heavy phenomena eg HVY RAheavy rain
546,HVY,Heavy
547,HX,No specific working hours
548,HYR,Higher
549,HZ,Haze
550,HZ,Hertz
551,IAC,Instrument approach chart
552,IAF,Initial approach fix
553,IAO,In and out of clouds
554,IAP,Instrument approach procedure
555,IAR,Intersection of air routes
556,IAS,Indicated airspeed
557,IBN,Identification beacon
558,IC*,Ice crystals
559,IC*,Ice crystals known as diamond dust
560,ICE,Icing
561,ID,Identifier or identify
562,IDENT,Identification
563,IF,Intermediate approach fix
564,IFF,Identification friendfoe
565,IFR,Instrument flight rules
566,IGA,International general aviation
567,ILS,Instrument landing system
568,IM,Inner marker
569,IMC,Instrument meteorological conditions
570,IMG,Immigration
571,IMI,Interrogation sign
572,IMI,Interrogation sign as a procedure signal
573,IMPR,Improve or improving
574,IMT,Immediate or immediately
575,INA,Initial approach
576,INBD,Inbound
577,INC,In cloud
578,INCERFA,Uncertainty phase
579,INCORP,Incorporated
580,INFO,Information
581,INOP,Inoperative
582,INP,If not possible
583,INPR,In progress
584,INS,Inertial navigation system
585,INSTL,Install or installed or installation
586,INSTR,Instrument
587,INT,Intersection
588,INTL,International
589,INTRG,Interrogator
590,INTRP,Interrupt or interruption or interrupted
591,INTSF,Intensify or intensifying
592,INTST,Intensity
593,IR,Ice on runway
594,IRS,Inertial reference system
595,ISA,International standard atmosphere
596,ISB,Independent sideband
597,ISOL,Isolated
598,JAN,January
599,JTST,Jet stream
600,JUL,July
601,JUN,June
602,KG,Kilogrammes
603,KHZ,Kilohertz
604,KIAS,Knots indicated airspeed
605,KM,Kilometers
606,KMH,Kilometers per hour
607,KPA,Kilopascal
608,KT,Knots
609,KW,Kilowatts
610,L,Low pressure area or the centre of low pressure
611,L,Litre
612,L,Locator
613,L,Left
614,L,Left identify a parallel runway
615,L*,Low altitude
616,LAM,Logical acknowledgement
617,LAN,Inland
618,LAT,Latitude
619,LCA,Local or locally or location or located
620,LDA,Landing distance available
621,LDAH,Landing distance available helicopter
622,LDG,Landing
623,LDI,Landing direction indicator
624,LEN,Length
625,LF,Low frequency
626,LGT,Light or lighting
627,LGTD,Lighted
628,LIH,Light intensity high
629,LIL,Light intensity low
630,LIM,Light intensity medium
631,LINE,Line
632,LM,Locator middle
633,LMM*,Locator middle marker
634,LMT,Local mean time
635,LNAV,Lateral navigation
636,LNG,Long
637,LNG,Long required
638,LO,Locator outer
639,LOC,Localizer
640,LOC,APP* Localizer approach
641,LOC*,Local or Locally or location or located
642,LOM*,Locator outer marker
643,LONG,Longitude
644,LORAN,LORAN
645,LOSS,Airspeed or headwind loss
646,LPV,Localizer performance with vertical guidance
647,LR,Last message received by me was
648,LR,Last message received by me was as a procedure signal
649,LRG,Long range
650,LS,Last message sent by me was or Last message
651,LS,Last message sent by me was or Last message was
652,LT*,Local time
653,LTA,Lower control area
654,LTD,Limited
655,LTP,Landing threshold point
656,LTT*,Landline teletypewriter
657,LV,Light and variable
658,LVE,Leave or leaving
659,LVL,Level
660,LVP,Low visibility procedures
661,LYR,layer or layered
662,M,Meters
663,M,Minimum value of runway visual range
664,M,Minimum value of runway visual range figures in METARSPECI
665,M,Mach number
666,MAA,Maximum authorized altitude
667,MAG,Magnetic
668,MAHF,Missed approach holding fix
669,MAINT,Maintenance
670,MALS*,Medium intensity approach lights system
671,MAP,Aeronautical maps and charts
672,MAPT,Missed approach point
673,MAR,At sea
674,MAR,March
675,MAS*,Manual A simplex
676,MATF,Missed approach turning fix
677,MATZ,Military aerodrome traffic zone
678,MAX,Maximum
679,MAY,May
680,MBST,Microburst
681,MCA,Minimum crossing altitude
682,MCTR,Military control zone
683,MCW,Modulated continuous wave
684,MDA,Minimum descent altitude
685,MDF,Medium frequency directionfinding station
686,MDH,Minimum descent height
687,MEA,Minimum enroute altitude
688,MEDEVAC,Medical evacuation flight
689,MEHT,Minimum eye height over threshold
690,MEHT,Minimum eye height over threshold approach slope indicator systems
691,MET,Meteorological or meteorology
692,MET,Local routine meteorological report
693,REPORT,plain language
694,METAR,Aerodrome routine meteorological report
695,METAR,Aerodrome routine meteorological report meteorological code
696,MF,Medium frequency
697,MFA*,Minimum flight altitude
698,MHA,Minimum holding altitude
699,MHDF,Medium and high frequency directionfinding stations
700,MHVDF,Medium high and very high frequency
701,MHVDF,Medium high and very high frequency directionfinding stations
702,MHZ,Megahertz
703,MID,Midpoint
704,MIFG,Shallow fog
705,MIL,Military
706,MIN,Minutes
707,MIRL*,Medium intensity runway edge light
708,MIS,Missing
709,AFS,as a procedure signal
710,MKR,Marker radio beacon
711,MLS,Microwave landing system
712,MM,Middle marker
713,MNH,Middle latitudes northern hemisphere
714,MNM,Minimum
715,MNPS,Minimum navigation performance specifications
716,MNT,Monitor or monitoring or monitored
717,MNTN,Maintain
718,MOA,Military operating area
719,MOC,Minimum obstacle clearance
720,MOCA,Minimum obstacle clearance altitude
721,MOD,Moderate
722,MOD,Moderate phenomena interference or static report eg MODRA
723,MOD,Moderate phenomena interference or static report eg MODRA MODRAmoderate rain
724,MON,Above mountains
725,MON,Monday
726,MOPS,Minimum operational performance standards
727,MOTNE*,Meteorological Operational Telecommunications
728,MOTNE*,Meteorological Operational Telecommunications Network Europe
729,MOV,Move or moving or movement
730,MPH*,Statute miles per hour
731,MPS,Meters per second
732,MRA,Minimum reception altitude
733,MRG,Medium range
734,MRP,ATSMET reporting point
735,MS,Minus
736,MSA,Minimum sector altitude
737,MSAL*,Minimum safe altitude
738,MSAS,Multifunctional transport satellite
739,MSAS,Multifunctional transport satellite satellitebased augmentation system
740,MSAS,Multifunctional transport satellite satellitebased augmentation system pronouncedEMSAS
741,MSAW,Minimum safe altitude warning
742,MSG,Message
743,MSH,Middle latitudes southern hemisphere
744,MSL,Mean sea level
745,MSR,Message has been
746,MSR,Message has been misrouted
747,MSSR,Monopulse secondary surveillance radar
748,MT,Mountain
749,MTOM,Maximum takeoff mass
750,MTOW*,Maximum takeoff weight
751,MTU,Metric units
752,MTW,Mountain waves
753,MTWA*,Maximum total weight authorized
754,MVDF,Medium and very high frequency directionfinding
755,MVDF,Medium and very high frequency directionfinding stations
756,MWO,Meteorological watch office
757,MX,Mixed type of ice formation
758,N,No distinct tendency
759,N,No distinct tendency minutes
760,N,North or northern latitude
761,NADP,Noise abatement departure procedure
762,NAIP*,National aeronautical information publication
763,NASC,National AIS system centre
764,NAT,North Atlantic
765,NAV,Navigation
766,NAVAID,Navigation aid
767,NB,Northbound
768,NBFR,Not before
769,NC,No change
770,NCD,No cloud detected
771,NDB,Nondirectional radio beacon
772,NDV,No directional variations available
773,NE,Northeast
774,NEB,Northeastbound
775,NEG,No or negative or permission not granted or that is not
776,NEG,No or negative or permission not granted or that is not correct
777,NGT,Night
778,NIL,None or I have nothing to send to you
779,NM,Nautical miles
780,NML,Normal
781,NN,No name unnamed
782,NNE,Northnortheast
783,NNW,Northnorthwest
784,NO,No
785,NOF,International NOTAM office
786,NONSTD,Nonstandard
787,NOSIG,No significant change
788,NOSIG,No significant change forecasts
789,NOTAM,Notice distributed by means of telecommunication
790,NOTAM,Notice distributed by means of telecommunication containing information concerning the
791,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical
792,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely
793,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely knowledge of which is essential to personnel
794,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely knowledge of which is essential to personnel concerned with flight operations
795,NOTAMC,Cancelling NOTAM
796,NOTAMN,New NOTAM
797,NOTAMR,Replacing NOTAM
798,NOV,November
799,NOZ,Normal operating zone
800,NPA,Nonprecision approach
801,NR,Number
802,NRH,No reply heard
803,NS,Nimbostratus
804,NSC,Nil significant cloud
805,NSE,Navigation system error
806,NSW,Nil significant weather
807,NTL,National
808,NTZ,No transgression zone
809,NW,Northwest
810,NWB,Northwestbound
811,NXT,Next
812,OAC,Oceanic area control center
813,OAS,Obstacle assessment surface
814,OBS,Observe or observed or observation
815,OBSC,Obscure or obscured or obscuring
816,OBST,Obstacle
817,OCA,Obstacle clearance altitude
818,OCA,Oceanic control area
819,OCC,Occulting
820,OCH,Obstacle clearance height
821,OCL*,Obstacle clearance limit
822,OCNL,Occasional or occasionally
823,OCS,Obstacle clearance surface
824,OCT,October
825,OFZ,Obstacle free zone
826,OGN,Originate
827,OHD,Overhead
828,OIS,Obstacle identification surface
829,OK,We agree or It is correct
830,OK,We agree or It is correct procedure signal
831,OLDI,Online data interchange
832,OM,Outer marker
833,OPA,Opaque white type of ice formation
834,OPC,Control indicated is operational control
835,OPMET,Operational meteorological
836,OPN,Open or opening or opened
837,OPR,Operator or operate or operative or operating or
838,OPR,Operator or operate or operative or operating or operational
839,OPS,Operations
840,OR,On request
841,ORD,Order
842,OSV,Ocean station vessel
843,OTLK*,Outlook
844,OTLK*,Outlook and tropical cyclones
845,OTP,On top
846,OTS,Organized track system
847,OUBD,Outbound
848,OVC,Overcast
849,P,Maximum value of wind speed or runway visual
850,P,Maximum value of wind speed or runway visual range
851,P,Prohibited area
852,PA,Precision approach
853,PALS,Precision approach lighting system
854,PANS,Procedures for air navigation services
855,PAPI,Precision approach path indicator
856,PAR,Precision approach radar
857,PARL,Parallel
858,PATC,Precision approach terrain chart
859,PATC,Precision approach terrain chart nametitle
860,PAX,Passenger
861,PBC,Performancebased communication
862,PBN,Performancebased navigation
863,PBS,Performancebased surveillance
864,PCD,Proceed or proceeding
865,PCL,Pilotcontrolled lighting
866,PCN,Pavement classification number
867,PCT,Percent
868,PDC,Predeparture clearance
869,PDG,Procedure design gradient
870,PER,Performance
871,PERM,Permanent
872,PIB,Preflight information bulletin
873,PJE,Parachute jumping exercise
874,PL,Ice pellets
875,PLA,Practice low approach
876,PLN*,Flight plan
877,PLVL,Present level
878,PN,Prior notice required
879,PNR,Point of no return
880,PO,Dustsand whirls
881,POB,Persons on board
882,POSS,Possible
883,PPI,Plan position indicator
884,PPR,Prior permission required
885,PPSN,Present position
886,PRFG,Aerodrome partially covered by fog
887,PRI,Primary
888,PRKG,Parking
889,PROB,Probability
890,PROC,Procedure
891,PROP,Propeller
892,PROV,Provisional
893,PRP,Pointinspace reference point
894,PS,Plus
895,PSG,Passing
896,PSN,Position
897,PSP,Pierced steel plank
898,PSR,Primary surveillance radar
899,PSYS,Pressure system
900,PTN,Procedure turn
901,PTS,Polar track structure
902,PWR,Power
903,QDL,Do you intend to ask me for a series of bearings or
904,I,intend to ask you for a series of bearings
905,I,intend to ask you for a series of bearings in radiotelegraphy as a Q Code
906,QDM,Magnetic heading
907,QDR,Magnetic bearing
908,QFE,Atmospheric pressure at aerodrome elevation
909,QFE,Atmospheric pressure at aerodrome elevation runway threshold
910,QFU,Magnetic orientation of runways
911,QGE,What is my distance to your station or Your distance
912,QGE,What is my distance to your station or Your distance to my station is
